Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
0.00020,6.06,-4.43,-0.08,33,0,3505970.00,102635.00,8.40,1321840.00,23.55,24.00,--,--,23.55,23.55,23400,16.10,NIFTY,957.00,12.00,934.30,945.00,920.05,968.30,41405.00,1.90,780.00,11115.00,0,0.92,-4.43,6.06,0.00020
0.00020,6.52,-4.68,-0.08,19,0,788840.00,18785.00,12.80,166010.00,25.95,26.70,--,--,25.95,25.95,23450,15.80,NIFTY,898.40,3.40,884.30,895.00,879.80,933.65,8840.00,1.50,130.00,715.00,1,0.92,-4.68,6.52,0.00020
0.00030,7.12,-5.07,-0.09,5,0,9666475.00,42510.00,1.10,3923595.00,29.75,29.95,--,--,29.65,29.65,23500,15.70,NIFTY,869.50,24.50,834.30,845.00,865.00,870.00,741585.00,-10.90,-90415.00,373880.00,0,0.91,-5.07,7.12,0.00030
0.00030,7.73,-5.44,-0.11,14,0,695370.00,32890.00,18.10,214110.00,32.85,33.80,--,--,33.55,33.55,23550,15.50,NIFTY,796.60,1.60,784.30,795.00,779.60,841.70,15405.00,-10.20,-1755.00,3705.00,1,0.89,-5.44,7.73,0.00030
0.00030,8.23,-5.66,-0.12,14,0,4517045.00,218140.00,15.30,1642095.00,36.95,37.45,--,--,36.45,36.45,23600,15.10,NIFTY,780.00,35.00,734.30,745.00,766.85,790.75,116610.00,4.20,4680.00,40885.00,0,0.88,-5.66,8.23,0.00030
0.00030,8.95,-6.10,-0.13,19,0,744120.00,33735.00,14.50,266825.00,41.60,42.80,--,--,41.80,41.80,23650,15.00,NIFTY,720.00,25.00,684.30,695.00,689.75,741.30,14170.00,-15.20,-2535.00,5525.00,0,0.87,-6.10,8.95,0.00030
0.00040,9.66,-6.51,-0.15,16,0,4704375.00,361920.00,19.60,2204280.00,47.50,48.75,--,--,47.50,47.50,23700,14.80,NIFTY,685.65,40.65,634.30,645.00,678.90,690.00,141765.00,3.10,4290.00,114270.00,0,0.85,-6.51,9.66,0.00040
0.00040,10.49,-7.06,-0.16,14,0,1184690.00,7605.00,2.20,354315.00,53.05,55.50,--,--,55.40,55.40,23750,14.80,NIFTY,619.15,24.15,584.30,595.00,628.70,662.40,26520.00,-4.90,-1365.00,11895.00,0,0.84,-7.06,10.49,0.00040
0.00040,11.15,-7.37,-0.18,6,0,5583045.00,417560.00,23.30,2209805.00,61.20,62.40,--,--,61.40,61.40,23800,14.50,NIFTY,604.00,59.00,534.30,545.00,590.70,610.20,353340.00,-12.40,-49855.00,389350.00,0,0.82,-7.37,11.15,0.00040
0.00050,11.90,-7.78,-0.20,12,0,1198925.00,22880.00,7.50,327665.00,68.85,70.50,--,--,69.55,69.55,23850,14.40,NIFTY,552.80,57.80,484.30,495.00,541.45,574.75,27040.00,-48.40,-25350.00,71110.00,0,0.80,-7.78,11.90,0.00050
0.00050,12.52,-7.97,-0.22,3,0,3783975.00,280995.00,20.30,1665170.00,76.40,77.95,--,--,75.70,75.70,23900,14.00,NIFTY,518.00,73.00,434.30,445.00,510.00,518.00,484965.00,-17.20,-100490.00,564525.00,0,0.78,-7.97,12.52,0.00050
0.00050,13.34,-8.50,-0.25,3,0,858585.00,55055.00,27.00,258830.00,86.70,89.70,--,--,88.00,88.00,23950,14.00,NIFTY,442.40,47.40,384.30,395.00,465.80,480.30,78195.00,-29.90,-33345.00,148785.00,0,0.75,-8.50,13.34,0.00050
0.00060,14.04,-8.84,-0.27,2,0,13718770.00,864565.00,14.20,6970405.00,99.15,100.00,--,--,99.15,99.15,24000,13.90,NIFTY,438.95,93.95,334.30,345.00,436.00,438.00,4164160.00,-17.70,-895310.00,5609240.00,0,0.73,-8.84,14.04,0.00060
0.00060,14.68,-9.12,-0.30,3,0,1841775.00,-233545.00,-31.70,503360.00,111.00,114.50,--,--,111.00,111.00,24050,13.70,NIFTY,400.00,105.00,284.30,295.00,391.75,403.00,178815.00,-51.20,-187265.00,609245.00,0,0.70,-9.12,14.68,0.00060
0.00060,15.27,-9.32,-0.33,2,0,7945600.00,-33865.00,-1.10,3000920.00,124.65,126.00,--,--,123.70,123.70,24100,13.40,NIFTY,368.40,123.40,234.30,245.00,363.90,368.40,1994070.00,-23.50,-613015.00,5754710.00,0,0.67,-9.32,15.27,0.00060
0.00070,15.82,-9.64,-0.36,1,0,2004665.00,288210.00,114.10,540800.00,141.15,143.60,--,--,141.00,141.00,24150,13.40,NIFTY,331.80,136.80,184.30,195.00,329.00,332.75,407810.00,4.40,17095.00,1674140.00,0,0.64,-9.64,15.82,0.00070
0.00070,16.26,-9.86,-0.39,1,0,13254345.00,1310790.00,43.90,4299360.00,156.75,159.70,--,--,159.25,159.25,24200,13.30,NIFTY,299.00,154.00,134.30,145.00,296.05,299.00,4607655.00,27.10,983450.00,13074100.00,0,0.61,-9.86,16.26,0.00070
0.00070,16.58,-9.86,-0.43,1,0,2925065.00,478595.00,133.80,836355.00,176.00,177.75,--,--,176.00,176.00,24250,13.10,NIFTY,264.00,169.00,84.30,95.00,264.00,267.60,584415.00,3.00,17290.00,3043755.00,0,0.57,-9.86,16.58,0.00070
0.00070,16.79,-9.91,-0.46,1,0,8629985.00,1258400.00,96.40,2563145.00,195.45,197.75,--,--,197.00,197.00,24300,13.00,NIFTY,235.35,190.35,34.30,45.00,236.65,238.85,3301415.00,22.20,600015.00,10696725.00,0,0.54,-9.91,16.79,0.00070
0.00080,16.86,-9.57,-0.50,1,0,1205685.00,201825.00,153.90,332930.00,221.40,221.90,5.00,15.70,216.40,221.40,24350,12.50,NIFTY,208.10,208.10,--,--,208.10,209.95,426270.00,-5.20,-23335.00,2570100.00,0,0.50,-9.57,16.86,0.00080
