Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
0.00010,4.89,-1.76,-0.03,--,0,--,--,--,--,9.50,--,--,--,16.00,16.00,22400,18.00,NIFTY,2148.50,172.41,1934.30,1976.09,1750.90,2127.55,--,--,--,--,0,0.97,-1.76,4.89,0.00010
0.00010,5.61,-2.06,-0.04,--,0,--,--,--,325.00,11.50,23.00,--,--,19.80,19.80,22450,18.30,NIFTY,2101.00,174.91,1884.30,1926.09,1705.00,2070.25,--,--,--,--,0,0.96,-2.06,5.61,0.00010
0.00010,5.50,-1.95,-0.04,--,0,18655.00,5720.00,52.40,16640.00,16.30,18.80,--,--,18.55,18.55,22500,17.70,NIFTY,2053.75,177.66,1834.30,1876.09,1657.85,2100.25,--,--,--,--,0,0.96,-1.95,5.50,0.00010
0.00010,6.95,-2.61,-0.05,--,0,--,--,--,--,14.55,33.40,--,--,27.60,27.60,22550,18.80,NIFTY,2006.75,180.66,1784.30,1826.09,1613.30,1991.10,--,--,--,--,0,0.95,-2.61,6.95,0.00010
0.00010,5.78,-1.97,-0.04,--,0,65.00,-65.00,--,--,17.20,22.90,--,--,19.15,19.15,22600,17.00,NIFTY,1959.95,183.86,1734.30,1776.09,1567.20,1930.95,--,--,--,--,0,0.96,-1.97,5.78,0.00010
0.00010,7.66,-2.82,-0.06,--,0,--,--,--,65.00,15.00,36.55,--,--,31.25,31.25,22650,18.40,NIFTY,1913.40,187.31,1684.30,1726.09,1520.45,1910.30,--,--,--,--,0,0.94,-2.82,7.66,0.00010
0.00010,7.21,-2.51,-0.06,--,0,--,--,--,1755.00,18.15,31.45,--,--,27.00,27.00,22700,17.40,NIFTY,1867.15,191.06,1634.30,1676.09,1474.35,1816.80,--,--,--,--,0,0.94,-2.51,7.21,0.00010
0.00010,7.99,-2.81,-0.06,--,0,--,--,--,910.00,18.00,30.00,--,--,31.85,31.85,22750,17.60,NIFTY,1821.15,195.06,1584.30,1626.09,1428.45,1760.60,--,--,--,--,0,0.94,-2.81,7.99,0.00010
0.00010,7.12,-2.31,-0.06,--,0,54470.00,-13455.00,-49.40,13780.00,24.00,27.10,--,--,24.65,24.65,22800,16.20,NIFTY,1775.45,199.36,1534.30,1576.09,1382.25,1717.55,--,--,--,--,0,0.94,-2.31,7.12,0.00010
0.00010,8.51,-2.88,-0.07,--,0,--,--,--,1300.00,23.00,40.95,--,--,33.70,33.70,22850,16.90,NIFTY,1730.10,204.01,1484.30,1526.09,1337.50,1680.65,--,--,--,--,0,0.93,-2.88,8.51,0.00010
